,Region,Procedures,Provider State,Provider Name,Count_of_services,Charges,Payment,Cluster_24
176,NC - Raleigh,126,1,13,167052,26036362.43776086,8359079.951654386,19
177,NC - Wilmington,122,1,4,38852,4344022.967013302,1759677.6148557002,1
178,NC - Winston-Salem,130,2,12,324187,14861895.628123531,5684357.096770454,0
179,ND - Bismarck,102,1,2,77864,2472214.4257259793,1242516.3091037096,3
180,ND - Fargo/Moorhead MN,123,2,5,123041,5003610.312278528,2132027.3850878407,4
181,ND - Grand Forks,100,1,2,83376,1868637.095584041,806758.5989526998,3
182,ND - Minot,81,1,1,11731,1316428.1559908001,607750.70500126,14
183,NE - Lincoln,122,1,6,49263,7329888.991875231,2503324.0132590584,13
184,NE - Omaha,125,2,18,111787,27948879.41299302,7729354.059477312,22
185,NH - Lebanon,117,2,3,219638,3934294.929630971,1816963.1215873298,4
186,NH - Manchester,127,1,9,249238,16166118.467237728,5172176.672969523,8
187,NJ - Camden,126,1,21,227090,109782772.8491003,16979178.772043288,11
188,NJ - Hackensack,126,2,9,80486,37505264.87634052,6892471.247054815,7
189,NJ - Morristown,125,2,7,75319,24286304.301203795,4682629.887455911,7
190,NJ - New Brunswick,123,1,6,65701,41233036.233183615,6115717.4732451,18
191,NJ - Newark,125,1,12,117538,62656880.28324219,10489368.999936108,5
192,NJ - Paterson,124,1,2,31901,11200679.242039295,2138614.7160371295,13
193,NJ - Ridgewood,124,2,3,31011,9933844.273114704,2140890.3391375616,4
194,NM - Albuquerque,127,3,28,217831,19836720.970861774,6921253.08291618,20
195,NV - Las Vegas,124,2,15,75406,66697876.486158885,9958926.055194752,22
196,NV - Reno,121,1,7,53333,12848165.153139153,3123512.3287557093,13
197,NY - Albany,129,3,21,220244,32041234.315866966,10962565.45351574,20
198,NY - Binghamton,118,1,4,76886,4327012.682355226,1946414.2048386196,1
199,NY - Bronx,125,1,8,131231,13173192.611514494,7406995.066773489,18
200,NY - Buffalo,125,1,15,91676,10339236.822689349,5219112.53571386,18
201,NY - East Long Island,128,1,30,308342,88090438.14477189,27095832.63886079,11
202,NY - Elmira,118,1,4,50805,6122874.534211752,2312610.6105038123,1
203,NY - Manhattan,129,1,28,562537,68688714.6290117,29490810.260526363,23
204,NY - Rochester,124,1,15,136526,8889603.06355097,5008700.794609453,18
205,NY - Syracuse,128,1,15,110215,13981916.494308574,6383776.068305463,18
206,NY - White Plains,122,1,11,73134,30043219.81082038,9016311.092696492,18
207,OH - Akron,126,1,7,82934,12974859.492801622,3249388.1057206304,13
208,OH - Canton,116,1,7,57318,5362568.681806386,2670618.715716912,1
209,OH - Cincinnati,130,2,17,164270,27169621.592356924,9036660.474840872,22
210,OH - Cleveland,130,1,25,784532,45866138.35777491,14047745.26350382,16
211,OH - Columbus,130,1,29,354979,36848509.76002243,13407941.436119225,5
212,OH - Dayton,125,1,14,98187,23177135.299083326,5813339.874840236,18
213,OH - Elyria,118,1,3,42350,4301852.160665404,1530603.38278711,1
214,OH - Kettering,119,1,4,26909,8644453.414877577,2057723.2846544492,1
215,OH - Toledo,128,2,14,143462,24281062.088934883,6656690.814894731,7
216,OH - Youngstown,123,2,9,61218,13565192.892745148,4003002.7661472703,4
217,OK - Lawton,110,1,4,12987,4152336.4194962,1333963.5720654398,15
218,OK - Oklahoma City,128,1,43,266536,45290883.06259759,11183067.70429787,11
219,OK - Tulsa,125,2,29,116454,22297557.761534207,7585062.842910873,22
220,OR - Bend,88,1,2,6683,2443197.098707968,861894.1764972201,3
221,OR - Eugene,114,1,6,47666,7296428.609697121,2774873.873738477,1
222,OR - Medford,113,2,6,67613,8293599.736849051,2664221.611519267,17
223,OR - Portland,128,2,19,282326,22458379.503218338,8601382.573174948,0
224,OR - Salem,101,1,2,19149,2167998.7047410994,883454.8166972501,3
225,PA - Allentown,128,2,15,150398,38372469.331822366,7496028.980900719,22
226,PA - Altoona,115,1,5,28855,3056917.2798454487,1193236.6531088203,1
227,PA - Danville,126,1,9,141183,11935699.832227714,3332510.1153002502,13
228,PA - Erie,124,2,13,104406,14270636.236308934,4236232.296935837,7
229,PA - Harrisburg,128,1,9,186114,16015764.672962902,5562557.439058434,8
230,PA - Johnstown,112,1,4,17366,2706583.7797644013,1116379.1777197693,15
231,PA - Lancaster,123,1,6,49862,11610281.818764538,2351773.5468124305,13
232,PA - Philadelphia,129,2,41,425967,172562014.17335713,26870694.628238987,2
233,PA - Pittsburgh,128,3,41,253720,45374064.285329334,15332663.163359582,20
234,PA - Reading,121,1,7,46017,11489871.834252914,3081353.3544306704,13
235,PA - Sayre,112,2,5,25835,3835697.721248701,1505706.8569066904,17
236,PA - Scranton,119,1,5,27438,7850357.859121669,2318246.7225027126,1
237,PA - Wilkes-Barre,125,1,2,71450,7362782.665755498,1572474.00650384,13
238,PA - York,121,1,4,33464,3947349.225142873,1983106.2852385195,1
239,RI - Providence,129,2,12,106542,18982804.34302856,6904091.706620063,7
240,SC - Charleston,130,1,12,115122,25434812.981598563,6486680.7251935955,18
241,SC - Columbia,127,1,14,96380,26549474.444982007,7338563.498691055,18
242,SC - Florence,124,1,9,39187,13465545.174515711,2881301.4477405907,13
243,SC - Greenville,124,1,11,92308,18349211.518382486,4454428.6995545775,18
244,SC - Spartanburg,122,1,4,35187,7050741.209717261,1780134.0111833308,1
245,SD - Rapid City,113,1,4,20004,3491818.2207173607,1283862.18839095,15
246,SD - Sioux Falls,126,3,16,69307,11562773.034297647,3952142.125605363,10
247,TN - Chattanooga,124,2,6,56515,13837980.307172656,3477388.344925102,4
248,TN - Jackson,123,1,12,36658,8184649.412481714,2373929.5164180277,13
249,TN - Johnson City,120,2,5,26806,6601177.298763489,1876010.37033264,4
250,TN - Kingsport,121,2,12,55291,11950605.52330257,3570442.5009295885,4
251,TN - Knoxville,126,2,24,136318,23270917.663509134,7422171.37646922,22
252,TN - Memphis,125,3,25,134462,30950869.084550552,8051009.939460685,20
253,TN - Nashville,130,2,42,276624,54824266.31384021,15634311.3205216,12
254,TX - Abilene,120,1,10,30006,9716704.224117542,2105640.942456271,1
255,TX - Amarillo,123,3,10,26590,7697690.710257809,2141646.056724982,10
256,TX - Austin,129,1,19,193635,32790873.700847812,6788455.776460981,19
257,TX - Beaumont,120,1,7,25486,10606995.651241502,2328337.309238858,1
258,TX - Bryan,115,1,3,24567,7223844.0345441755,1367927.7805354595,1
259,TX - Corpus Christi,120,1,7,21355,12830716.527596094,2406669.3335225806,1
260,TX - Dallas,130,2,62,365225,99792017.11097345,22553156.578343287,2
261,TX - El Paso,122,2,11,52562,27686023.73231512,5116135.875368129,7
262,TX - Fort Worth,128,1,24,141750,40612889.39402802,8924464.217835164,5
263,TX - Harlingen,117,1,6,34530,15344495.252270697,3417917.1424416066,1
264,TX - Houston,129,1,66,325348,116831935.4416577,25351086.4869515,2
265,TX - Longview,115,1,2,12563,5783259.935403304,1191455.5238965997,1
266,TX - Lubbock,123,2,17,52791,16310079.279473495,3507875.3011563085,7
267,TX - McAllen,119,1,6,30804,16867303.561496016,3876438.414770869,1
268,TX - Odessa,111,1,4,20653,6364908.8583293995,1974859.8124458997,15
269,TX - San Angelo,105,1,2,13654,4488996.897224099,1082708.4187574594,15
270,TX - San Antonio,127,1,25,169507,33959047.279822126,8637090.547416326,19
271,TX - Temple,127,1,3,409720,4326626.487922208,1523306.23890835,8
272,TX - Tyler,128,1,13,211690,17034780.23659262,3014130.75425325,8
273,TX - Victoria,101,1,3,19090,6092911.118507594,1253871.9560478597,3
274,TX - Waco,117,1,9,32634,6433993.53364452,2103236.19550994,1
275,TX - Wichita Falls,108,1,7,11446,3881113.8255230985,1125752.3048570703,15
276,UT - Ogden,95,1,4,22360,3077133.774740108,1079348.5837269395,3
277,UT - Provo,88,1,5,9540,2619476.5483621615,976716.5881734496,3
278,UT - Salt Lake City,126,4,25,204235,15405843.596428735,6209709.901833481,20
279,VA - Arlington,125,1,10,66808,17933338.250548948,6668361.048818408,18
280,VA - Charlottesville,130,1,6,224452,10061752.211519323,4100292.256761829,8
281,VA - Lynchburg,124,1,2,35926,2477027.179309301,1031304.2975165105,1
282,VA - Newport News,120,1,6,40816,8409711.232228983,2917949.97862476,1
283,VA - Norfolk,128,2,11,110777,20921037.465665273,6678309.066896647,7
284,VA - Richmond,128,1,17,230068,43626599.09077195,9356690.413307521,19
285,VA - Roanoke,126,2,13,74223,13831491.969873736,4566607.409414408,7
286,VA - Winchester,120,2,3,26326,3318525.6060016584,1680815.0064484188,4
287,VT - Burlington,128,2,9,189182,8193409.804409292,4519706.3845606875,7
288,WA - Everett,112,1,5,51373,5707779.077346809,1772097.8667455309,15
289,WA - Olympia,109,1,3,22023,6612762.211186063,1667487.9342879513,15
290,WA - Seattle,129,1,17,537257,40928562.97431475,12995668.010986568,16
291,WA - Spokane,125,2,14,116749,18965235.399770584,6786664.8590427125,7
292,WA - Tacoma,120,1,5,87838,17867386.65327983,4010062.9383796165,13
293,WA - Yakima,111,1,3,48519,3953434.886661477,1385313.2305133506,15
294,WI - Appleton,81,1,2,10284,1466334.1204345995,776453.9818523499,14
295,WI - Green Bay,110,2,8,71229,7216952.716180512,2618303.3657949194,17
296,WI - La Crosse,97,2,3,13771,3349378.19490938,1363855.28205812,17
297,WI - Madison,127,1,13,330332,16929079.41696414,5809296.182319221,8
298,WI - Marshfield,110,1,6,29556,4222472.887147448,1823523.5276383816,15
299,WI - Milwaukee,130,2,28,399565,43050174.70405902,12945168.728851492,12
300,WI - Neenah,64,1,3,11215,1432813.1595885807,646606.9435008694,14
301,WI - Wausau,111,1,3,47074,3496637.5740889697,1310453.0480402107,15
302,WV - Charleston,126,1,15,98614,13825145.487824623,5318709.756900148,18
303,WV - Huntington,125,2,6,103105,9050902.646689286,3238272.461556429,4
304,WV - Morgantown,126,3,7,49086,7708876.243184069,3424691.893484157,10
305,WY - Casper,89,1,4,7008,3551559.5641856887,1261110.3817399908,3
