,Provider Name,Procedures,Provider State,Region,Count_of_services,Charges,Payment,Cluster_23
60,AMERICAN FORK HOSPITAL,34,1,1,1746,394117.29990076006,144648.40660842002,1
61,AMERICAN LEGION HOSPITAL,36,1,1,2863,207704.74367792002,160127.80199161998,1
62,AMHERST HOSPITAL,5,1,1,103,50807.021171,23503.666836699995,12
63,ANAHEIM GENERAL HOSPITAL,5,1,1,146,163362.2412,35841.117151000006,12
64,ANDALUSIA REGIONAL HOSPITAL,40,1,1,2239,546569.7699004002,172754.65212174997,1
65,ANDERSON HOSPITAL,70,1,1,6367,1210869.4083657,388306.45220542984,6
66,ANDERSON REGIONAL MEDICAL CENTER,90,1,1,5418,2266178.0031634998,683741.1167947496,15
67,ANDERSON REGIONAL MEDICAL CENTER SOUTH CAMPUS,34,1,1,6924,554674.209656,120649.04403539002,1
68,ANGLETON-DANBURY MEDICAL CENTER,20,1,1,936,198260.19130160005,86876.73627539002,12
69,"ANIMAS SURGICAL HOSPITAL, LLC",5,1,1,405,62734.129646999994,15441.612733099999,12
70,ANMED HEALTH,111,1,1,16793,5068452.723556202,940865.83208456,13
71,ANNA JAQUES HOSPITAL,78,1,1,10082,812473.5386072102,459934.6702988899,6
72,ANNE ARUNDEL MEDICAL CENTER,97,1,1,7317,1232827.1770300001,1163444.437243,2
73,ANSON COMMUNITY HOSPITAL,21,1,1,779,249136.39627469998,98720.82609300001,1
74,ANSON GENERAL HOSPITAL,6,1,1,115,43245.763320000005,31374.520465,12
75,ANTELOPE VALLEY HOSPITAL MED CENTER,97,1,1,4209,3900845.66662,1143290.3393585002,13
76,APPLETON MED CTR,75,1,1,7435,856536.8931275004,468256.81912069005,6
77,APPLING HOSPITAL,25,1,1,879,234787.29496999,98164.65181963,1
78,ARIA HEALTH,109,1,1,8895,4929457.326491901,983940.5572600804,13
79,ARIZONA ORTHOPEDIC SURGICAL HOSPITAL,3,1,1,274,57737.024538,12520.355438999999,12
80,ARIZONA REGIONAL MEDICAL CENTER,26,1,1,710,814178.0033326002,183819.28167400003,1
81,ARIZONA SPINE AND JOINT HOSPITAL,4,1,1,575,129142.504781,39960.0753489,12
82,ARKANSAS HEART HOSPITAL,61,1,1,20506,1098967.39581318,309600.52716722985,6
83,ARKANSAS METHODIST MEDICAL CENTER,48,1,1,2610,628208.5487416001,271048.70465633,20
84,ARKANSAS SURGICAL HOSPITAL,7,1,1,2306,105383.587164,47229.2885404,12
85,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,35,1,1,1651,295979.3793908,169453.22023329997,1
86,ARNOT OGDEN MEDICAL CENTER,95,1,1,12645,1565381.890992199,636166.3164422306,15
87,"AROOSTOOK MEDICAL CENTER,THE",42,1,1,32379,557735.26819561,219486.21010064008,20
88,ARROWHEAD HOSPITAL,60,1,1,1841,1502181.0580035003,442904.38939499995,6
89,ARROWHEAD REGIONAL MEDICAL CENTER,51,1,1,25538,1117617.75123248,443205.7284885399,6
90,ARROYO GRANDE COMMUNITY HOSPITAL,35,1,1,2355,1056795.2962972,196178.46889729993,20
91,ARTESIA GENERAL HOSPITAL,15,1,1,475,143655.0714307,58018.1759962,12
92,ASHLAND COMMUNITY HOSPITAL,18,1,1,6196,213424.35326489992,72138.79285958997,12
93,ASHLEY VALLEY MEDICAL CENTER,15,1,1,602,135789.5467297,58150.9348316,12
94,ASHTABULA COUNTY MEDICAL CENTER,66,1,1,9991,926161.3541153901,360270.6124636301,6
95,ASPIRUS WAUSAU HOSPITAL,107,1,1,30738,2264215.5287533402,806762.2731636298,11
96,ATHENS REGIONAL MEDICAL CENTER,120,2,2,22273,3570785.563108361,1054346.09527833,10
97,ATHENS-LIMESTONE HOSPITAL,48,1,1,3169,576253.9781427298,258140.65721296993,20
98,ATLANTA MEDICAL CENTER,63,1,1,3295,3400933.9554041,602410.6605309903,15
99,ATLANTA MEMORIAL HOSPITAL,22,1,1,971,173597.25346329997,70098.00699135,12
100,ATLANTIC GENERAL HOSPITAL,59,1,1,1721,578972.56643,545533.3435059999,6
101,ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,117,1,1,19191,8169729.548722399,1055135.1879619106,5
102,ATMORE COMMUNITY HOSPITAL,27,1,1,1843,396765.4911751999,96067.67655856999,1
103,ATRIUM MEDICAL CENTER,87,1,1,6033,3213657.166840403,664296.2419670398,2
104,AUBURN COMMUNITY HOSPITAL,68,1,1,3377,1015005.5204889996,424141.27925416,6
105,AUBURN REGIONAL MEDICAL CENTER,71,1,1,6012,1898580.9024001998,511247.15332608984,15
106,AUDRAIN MEDICAL CENTER,52,1,1,6485,564825.0394756498,260962.20311157996,20
107,AUGUSTA HEALTH,106,1,1,19136,1756499.0024511009,777599.0260755699,2
108,AULTMAN HOSPITAL,109,1,1,14125,1631211.9382638002,821012.3725822399,2
109,AURELIA OSBORN FOX MEMORIAL HOSPITAL,55,1,1,18737,411648.74294608,238333.36303286,20
110,AURORA BAYCARE MED CTR,61,1,1,6852,1255494.1683672,419762.24665617,6
111,AURORA LAKELAND MED CTR,47,1,1,7274,812186.0000762,253078.65731243996,20
112,AURORA MED CENTER-WASHINGTON COUNTY,38,1,1,2382,474511.50719971996,140175.40781176006,1
113,AURORA MED CTR KENOSHA,53,1,1,7571,874525.6773076,250152.66520283005,20
114,AURORA MED CTR MANITOWOC CTY,32,1,1,2118,328233.90567229985,148756.91832724,1
115,AURORA MED CTR OSHKOSH,38,1,1,4133,495909.36089630006,161046.96435015998,1
116,AURORA MEDICAL CENTER,43,1,1,3647,681089.12388552,200478.53846887,20
117,AURORA MEMORIAL HSPTL BURLINGTON,46,1,1,3511,853371.8753669002,254884.94035482005,20
118,AURORA SHEBOYGAN MEM MED CTR,37,1,1,1961,561630.3492029,223656.51819110996,1
119,AURORA ST LUKES MEDICAL CENTER,125,1,1,52974,4278852.386241699,1129740.22715146,16
120,AURORA WEST ALLIS MEDICAL CENTER,96,1,1,9011,2292364.2424759013,627129.87788385,2
121,AUSTIN SURGICAL HOSPITAL,10,1,1,1128,64854.817771400005,12862.77336842,12
122,AVENTURA HOSPITAL AND MEDICAL CENTER,109,1,1,8992,6530989.9584439,921492.7761111503,5
123,AVERA HEART HOSPITAL OF SOUTH DAKOTA LLC,27,1,1,1387,689427.8489131997,321881.91177780007,1
124,AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,99,1,1,14321,2577317.36034138,826426.45815066,2
125,AVERA QUEEN OF PEACE,36,1,1,2344,507109.8219304999,171805.57292901003,1
126,AVERA SACRED HEART HOSPITAL,54,1,1,4216,940008.72214495,330868.77292456996,20
127,AVERA ST LUKES,69,1,1,7556,1226210.9192023699,487067.2799742502,6
128,AVOYELLES HOSPITAL,22,1,1,1016,387633.01705599995,107260.43795200001,1
129,"BAILEY MEDICAL CENTER, L L C",14,1,1,948,143525.3689897,36716.16675893,12
130,BAKERSFIELD HEART HOSPITAL,55,1,1,1815,2808237.3797429996,500318.6604827,6
131,BAKERSFIELD MEMORIAL HOSPITAL,86,1,1,4864,5164455.076508402,942144.5495724098,13
132,BALTIMORE WASHINGTON  MEDICAL CENTER,97,1,1,6589,1256958.4678169992,1184442.215556,2
133,BAMBERG COUNTY MEMORIAL HOSPITAL,15,1,1,353,103947.1261755,98335.6098,12
134,BANNER BAYWOOD MEDICAL CENTER,98,1,1,30871,2795825.565779701,645325.0930844696,11
135,BANNER BOSWELL MEDICAL CENTER,117,1,1,11306,4407890.8556158,854785.13405942,13
136,BANNER CHURCHILL COMMUNITY HOSPITAL,29,1,1,1432,386011.20136475004,154049.7786416,1
137,BANNER DEL E WEBB MEDICAL CENTER,104,1,1,7398,3998232.0252317004,793436.8340071402,13
138,BANNER DESERT MEDICAL CENTER,106,1,1,5013,3523963.723270901,946646.7550311693,13
139,BANNER ESTRELLA MEDICAL CENTER,73,1,1,2878,2540992.565877201,625508.5972885601,15
140,BANNER GATEWAY MEDICAL CENTER,60,1,1,2214,1918921.4008052,442815.6250571799,6
141,BANNER GOOD SAMARITAN MEDICAL CENTER,112,1,1,15885,4103096.4781531994,1067336.6998045396,13
142,BANNER HEART HOSPITAL,31,1,1,1962,1400288.1289330004,263497.06567810004,20
143,BANNER THUNDERBIRD MEDICAL CENTER,107,1,1,7272,3512898.4462678987,906812.9965621097,13
144,BAPTIST EASLEY HOSPITAL,46,1,1,2431,1103861.4657812999,272855.1948403001,20
145,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,106,1,1,9015,2112432.7482955023,704674.2560450798,2
146,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,120,1,1,12614,3030637.2721119,880134.4864458101,13
147,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,26,1,1,1069,216332.88543270002,129736.71020522,1
148,BAPTIST HOSPITAL,116,2,2,25144,5654057.740506105,1537361.6417176705,0
149,BAPTIST HOSPITAL EAST,122,1,1,31335,2274011.6939545013,782144.1928277499,11
150,BAPTIST HOSPITAL NORTHEAST,43,1,1,2271,466012.3093610999,198856.14109070002,20
151,BAPTIST HOSPITAL OF MIAMI INC,109,1,1,11866,6806108.2376539,1189669.7595153593,5
152,BAPTIST MEDICAL CENTER,124,2,2,36160,9034991.708042312,1919259.3000897104,0
153,BAPTIST MEDICAL CENTER  BEACHES,75,1,1,5520,2113401.6544207004,400694.68096804,15
154,BAPTIST MEDICAL CENTER - NASSAU,31,1,1,1840,498546.4433150999,135478.84967670002,1
155,BAPTIST MEDICAL CENTER EAST,59,1,1,3700,1403091.0498843002,400948.91079470003,6
156,BAPTIST MEDICAL CENTER SOUTH,109,1,1,6827,3019276.71697069,920339.85133317,13
157,BAPTIST MEDICAL CENTER-PRINCETON,107,1,1,6976,4421253.698959143,788964.3099602894,13
158,BAPTIST MEM HOSP/GOLDEN TRIANGLE INC,79,1,1,4389,1731370.2415578002,585728.77474673,15
159,BAPTIST MEMORIAL HOSPITAL,117,1,1,27189,3518599.1731121503,948855.2204829698,11
160,BAPTIST MEMORIAL HOSPITAL BOONEVILLE,25,1,1,1407,281653.9707497,108092.69784993,1
161,BAPTIST MEMORIAL HOSPITAL DESOTO,107,1,1,11122,2865827.6486935,904463.9740050802,2
162,BAPTIST MEMORIAL HOSPITAL HUNTINGDON,20,1,1,687,155414.43507849996,55757.5566302,12
163,BAPTIST MEMORIAL HOSPITAL NORTH MS,85,1,1,4819,2091692.118479251,727668.1387549798,15
164,BAPTIST MEMORIAL HOSPITAL TIPTON,19,1,1,987,185789.52539529995,93842.94243691997,12
165,BAPTIST MEMORIAL HOSPITAL UNION CITY,40,1,1,1640,441686.31880919996,178691.70157422998,1
166,BAPTIST MEMORIAL HOSPITAL UNION COUNTY,43,1,1,2224,590582.4701323,202849.87886188997,20
167,BAPTIST REGIONAL MEDICAL CENTER,70,1,1,5645,1303570.8314169997,430125.27904248005,6
168,BAPTIST ST ANTHONYS HEALTH SYSTEM-BAPTIST CAMPUS,110,1,1,10289,3116536.394195801,801251.5392856403,2
169,BARNES JEWISH HOSPITAL,117,1,1,35259,3199125.250989202,1148790.9817456608,16
170,BARNES-JEWISH ST PETERS HOSPITAL,66,1,1,10220,1218745.96667528,452111.33146623004,6
171,BARNES-JEWISH WEST COUNTY HOSPITAL,35,1,1,6328,410415.36754930014,164593.48854452002,1
172,BARNWELL COUNTY HOSPITAL,13,1,1,335,87539.65284000001,62177.622177330006,12
173,BARROW REGIONAL MEDICAL CENTER,30,1,1,1344,463551.2221772,138532.07690570003,1
174,BARSTOW COMMUNITY HOSPITAL,25,1,1,772,1043964.4882069,178428.13147231995,1
175,BARTLETT REGIONAL HOSPITAL,21,1,1,1040,238668.95352704,123289.39776079,1
176,BARTON MEMORIAL HOSPITAL,16,1,1,1337,252728.08302209998,76592.79690581001,12
177,BARTOW REGIONAL MEDICAL CENTER,50,1,1,2073,1198434.8653854998,246293.47352855004,20
178,BATES COUNTY MEMORIAL HOSPITAL,26,1,1,4692,371324.03785337997,123775.45998867,1
179,BATON ROUGE GENERAL MEDICAL CENTER,102,1,1,6501,1894758.3054794,876592.8820366797,2
180,BAXTER REGIONAL MEDICAL CENTER,100,1,1,10595,1450701.0398638994,600355.1280242,15
181,BAY AREA HOSPITAL,71,1,1,3852,1504089.0767696998,645075.2024293101,15
182,BAY AREA MED CTR,68,1,1,4188,1133798.7378831997,387524.40075706,6
183,BAY MEDICAL CENTER,111,1,1,11054,2597551.258793958,797689.7189185896,2
184,BAY PARK COMMUNITY HOSPITAL,38,1,1,1952,718238.0461819001,138515.78573393,1
185,BAYFRONT MEDICAL CENTER INC,95,1,1,5668,4031095.592145298,827646.0426691398,13
186,BAYHEALTH - KENT GENERAL HOSPITAL,113,1,1,16281,2466642.75228305,942571.6725927602,11
187,BAYHEALTH - MILFORD MEMORIAL HOSPITAL,7,1,1,108,147500.92058,58595.36964,12
188,BAYLOR ALL SAINTS MEDICAL CENTER AT FW,106,1,1,10806,2971974.956941032,957411.63302985,13
189,BAYLOR HEART AND VASCULAR HOSPITAL,31,1,1,1605,720150.3092111001,232284.27673991997,1
190,BAYLOR MEDICAL CENTER AT CARROLLTON,54,1,1,4002,1259876.1395408998,351107.8999310798,6
191,BAYLOR MEDICAL CENTER AT FRISCO,11,1,1,930,281110.02452350006,60534.706101949996,12
192,BAYLOR MEDICAL CENTER AT GARLAND,103,1,1,23873,2683447.577354001,862114.55512403,11
193,BAYLOR MEDICAL CENTER AT IRVING,87,1,1,10666,2423653.55005714,692593.5092109697,15
194,BAYLOR MEDICAL CENTER AT TROPHY CLUB,4,1,1,271,53846.39820999999,13175.9171098,12
195,BAYLOR MEDICAL CENTER AT UPTOWN,6,1,1,503,130368.69971199999,51026.6738749,12
196,BAYLOR MEDICAL CENTER AT WAXAHACHIE,45,1,1,2242,901195.8546296002,270847.00992269,20
197,BAYLOR ORTHOPEDIC AND SPINE HOSPITAL AT ARLINGTON,2,1,1,243,133696.25416,37967.349780000004,12
198,BAYLOR REGIONAL MEDICAL CENTER AT GRAPEVINE,84,1,1,4651,2395451.281672801,597536.4186548799,15
199,BAYLOR REGIONAL MEDICAL CENTER AT PLANO,63,1,1,3339,1782993.7378759,445522.3906517101,6
200,BAYLOR SURGICAL HOSPITAL AT FORT WORTH,8,1,1,1090,230478.81972310002,102425.5775694,12
201,BAYLOR UNIVERSITY MEDICAL CENTER,113,1,1,51421,3168594.5165395015,1072760.9195237702,16
202,BAYONNE HOSPITAL CENTER,60,1,1,1865,8846480.243309999,600762.50938,13
203,BAYSHORE COMMUNITY HOSPITAL,96,1,1,5365,4387975.356688001,691719.93533444,13
204,BAYSHORE MEDICAL CENTER,97,1,1,5457,4710006.4130746,822288.9347698202,13
205,BAYSTATE FRANKLIN MEDICAL CENTER,48,1,1,3664,603010.248358,252643.75325244994,20
206,BAYSTATE MARY LANE HOSPITAL,24,1,1,1516,147027.08953419994,76687.56809339,1
207,BAYSTATE MEDICAL CENTER,122,1,1,59545,2324493.435400499,1255731.5566669996,16
208,BEACHAM MEMORIAL HOSPITAL,19,1,1,513,164402.829712,91955.307631,12
209,BEAR VALLEY COMMUNITY HOSPITAL,4,1,1,87,15529.918177,9583.553333,12
210,BEAUFORT COUNTY MEDICAL CENTER,46,1,1,5819,360897.16481269995,220951.44740297002,20
211,BEAUFORT COUNTY MEMORIAL HOSPITAL,83,1,1,7073,1719681.9456548397,561127.0925401599,15
212,"BEAUMONT HOSPITAL, GROSSE POINTE",96,1,1,6731,1700033.7437090997,669530.3080297697,15
213,BEAUREGARD MEMORIAL HOSPITAL,28,1,1,935,572134.1958861998,130164.51331220001,1
214,BEAVER DAM COM HSPTL,40,1,1,4271,714094.17928018,214137.42227579997,20
215,BEAVER VALLEY HOSPITAL,1,1,1,20,11409.0,8885.9,12
216,BECKLEY ARH HOSPITAL,70,1,1,3479,708886.5980695002,392244.16241116007,6
217,BEDFORD MEMORIAL HOSPITAL,32,1,1,1720,361137.98571390007,124295.00006130002,1
218,BEEBE MEDICAL CENTER,102,1,1,16729,2996211.8640343,896853.4653756901,2
219,BELLEVUE HOSPITAL,29,1,1,1591,253708.92961960004,89772.45594697,1
220,BELLEVUE HOSPITAL CENTER,52,1,1,1324,1128887.987379,804721.9490599998,6
221,BELLEVUE MEDICAL CENTER,31,1,1,655,772801.24196,178852.390879,1
222,BELLFLOWER MEDICAL CENTER,20,1,1,773,531468.4024020998,137071.70624400003,1
223,BELLIN MEMORIAL HSPTL,67,1,1,15862,1050232.98872841,387643.46413009975,6
224,BELLVILLE GENERAL HOSPITAL,14,1,1,575,72321.82552720002,45802.90825447,12
225,BELMONT COMMUNITY HOSPITAL,10,1,1,442,56910.65962924,25243.1661553,12
226,BELOIT MEM HSPTL,74,1,1,71759,1724180.9974960305,416626.1006023501,19
227,BENEDICTINE HOSPITAL,24,1,1,2929,306252.7994174,94065.08532645002,1
228,BENEFIS HOSPITALS INC,97,1,1,9497,1881639.6578915694,768686.20359059,2
229,BERGEN REGIONAL MEDICAL CENTER,28,1,1,5970,535378.2297540001,132437.62917842,1
230,BERGER HOSPITAL,43,1,1,2754,470165.63724839996,209533.29299038,20
231,BERKSHIRE MEDICAL CENTER INC,108,1,1,26743,1722529.8544933395,995960.4642900398,11
232,BERRIEN COUNTY HOSPITAL,8,1,1,203,37898.40190033,12286.8282058,12
233,BERT FISH MEDICAL CENTER,55,1,1,7044,913681.1591569997,270969.10457538994,20
234,BERTRAND CHAFFEE HOSPITAL,15,1,1,289,85706.11434609999,47790.75732599999,12
235,BERWICK HOSPITAL CENTER,43,1,1,2103,1038425.1853387001,147997.16038358008,20
236,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,52,1,1,12055,406255.8387488,218318.98571658006,20
237,BETH ISRAEL DEACONESS MEDICAL CENTER,129,1,1,148320,2596608.521123701,1517833.9128350914,9
238,BETH ISRAEL MEDICAL CENTER,126,1,1,87834,4837356.4634027025,1682978.1492669117,22
239,BETHESDA MEMORIAL HOSPITAL,113,1,1,19551,4705874.857351473,899803.8152791202,11
240,BETHESDA NORTH HOSPITAL,114,1,1,12645,3199153.0729945996,850872.7100272104,13
241,BETSY JOHNSON REGIONAL  HOSPITAL,70,1,1,3750,1045286.3464801003,427177.92302658,6
242,BEVERLY HOSPITAL,67,1,1,3884,1344335.3565274,608991.1350692299,6
243,BEVERLY HOSPITAL CORPORATION,106,1,1,36463,1180302.6683192002,723601.0290583599,19
244,BIBB MEDICAL CENTER,4,1,1,88,16582.7562861,10417.078571700002,12
245,BILLINGS CLINIC HOSPITAL,102,1,1,38512,1810436.0317420007,773414.42305045,19
246,BILOXI REGIONAL MEDICAL CENTER,67,1,1,3837,2638418.3957292996,390024.0336691502,15
247,BLACK HILLS SURGICAL HOSPITAL LLP,7,1,1,2659,197065.053267,56809.976127899994,12
248,BLAKE MEDICAL CENTER,102,1,1,5623,4433338.601092999,712687.4396149,13
249,BLANCHARD VALLEY HOSPITAL,81,1,1,11925,1201596.1629815202,482245.9946203403,15
250,BLESSING HOSPITAL,111,1,1,11162,2760354.2116411,855966.5301867799,2
251,BLOOMSBURG HOSPITAL,25,1,1,1294,417728.1586780999,90230.18388215001,1
252,BLOUNT MEMORIAL HOSPITAL,91,1,1,7297,2464571.096801,599974.43395166,15
253,BLUEFIELD REGIONAL MEDICAL CENTER,73,1,1,3732,909296.6078026998,434949.54506129987,6
254,BLUFFTON REGIONAL MEDICAL CENTER,36,1,1,2012,616950.5856543701,163895.39962634,1
255,BOB WILSON MEMORIAL GRANT COUNTY HOSPITAL,6,1,1,138,33625.6513005,17388.39096988,12
256,BOCA RATON REGIONAL HOSPITAL,114,1,1,32630,3752259.2345274007,811643.5479041705,11
257,BOLIVAR GENERAL HOSPITAL,10,1,1,293,43284.537683409995,51126.292485,12
258,BOLIVAR MEDICAL CENTER,54,1,1,2449,965794.7039127002,252754.05052437008,20
259,BON SECOURS - DEPAUL MEDICAL CENTER,80,1,1,4558,1884875.2566379004,614804.7862884899,15
260,BON SECOURS - MEMORIAL REGIONAL MEDICAL,107,1,1,27983,3398337.3104528077,831824.5949779397,11
261,BON SECOURS - RICHMOND COMMUNITY HOSPITAL,22,1,1,1159,300973.85935409996,106881.65248948002,1
262,BON SECOURS - ST FRANCIS MEDICAL CENTER,80,1,1,5650,2262498.35457284,581928.5422406801,15
263,BON SECOURS - ST MARYS HOSPITAL OF RICHMOND,117,1,1,17740,3618485.5441618217,891093.7739890899,11
264,BON SECOURS COMMUNITY HOSPITAL,59,1,1,3539,1805827.2172376998,447231.52610499016,6
265,BON SECOURS HOSPITAL,38,1,1,1258,513590.096857,482858.29012599995,20
266,BON SECOURS MARYVIEW MEDICAL CENTER,97,1,1,9841,2181171.416173101,754745.3967890698,2
267,BON SECOURS-ST FRANCIS XAVIER HOSPITAL,76,1,1,7444,2180598.991551569,582291.3720122799,15
268,BOONE HOSPITAL CENTER,116,1,1,18213,2447501.439125898,750038.6972526298,11
269,BORGESS MEDICAL CENTER,107,1,1,16514,3107648.3288627393,978833.0417443401,11
270,BOSTON MEDICAL CENTER CORPORATION,123,1,1,152517,2381579.556530818,1653000.0167076509,9
271,BOTHWELL REGIONAL HEALTH CENTER,75,1,1,6924,987207.6821288697,374675.50441347,6
272,BOTSFORD HOSPITAL,102,1,1,17606,1715362.2920277398,996401.7108475899,2
273,BOULDER COMMUNITY HOSPITAL,73,1,1,14962,2615995.46562565,509166.71273224003,15
274,BOURBON COMMUNITY HOSPITAL,17,1,1,548,132437.0881614,64221.599801000004,12
275,BOWIE MEMORIAL HOSPITAL,20,1,1,555,217716.0146202,73846.55865472998,12
